# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-09-16T08:01:38.000Z | URL: https://pharos.watch/datasets/scores-latest/latest.csv | Methodology: safety-score v9.49 | dews v6.22 | liquidity v6.4 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
usdc-circle,USDC,,90,A+,13,CALM,71,mixed
usdt-tether,USDT,,87,A+,13,CALM,62,mixed
fidd-fidelity,FIDD,,84,A,8,CALM,75,mixed
bold-liquity,BOLD,,84,A,15,CALM,69,mixed
paxg-paxos,PAXG,,83,A,19,WATCH,56,mixed
gtusdc-gauntlet,gtUSDC,,83,A,,,24,fallback
eurc-circle,EURC,,82,A-,15,CALM,76,mixed
yvusdc-yearn,yvUSDC-1,,81,A-,,,14,fallback
usds-sky,USDS,,80,A-,8,CALM,63,mixed
dai-makerdao,DAI,,80,A-,15,CALM,58,mixed
zchf-frankencoin,ZCHF,,80,A-,13,CALM,75,mixed
pusd-polymarket,pUSD,,79,B+,11,CALM,36,mixed
doc-money-on-chain,DOC,,79,B+,15,CALM,55,mixed
xsgd-straitsx,XSGD,,79,B+,13,CALM,82,mixed
xaut-tether,XAUT,,79,B+,12,CALM,63,mixed
ybold-yearn,yBOLD,,79,B+,,,,unobserved
rlusd-ripple,RLUSD,,78,B+,15,CALM,65,primary
usdcv-societe-generale-forge,USDCV,,78,B+,15,CALM,56,primary
sdai-sky,sDAI,,78,B+,,,52,mixed
cusd-cap,CUSD,,77,B+,10,CALM,32,fallback
gtusdcp-gauntlet,gtUSDCp,,77,B+,,,15,fallback
bbqusdc-steakhouse,bbqUSDC,,77,B+,,,,unobserved
usdrif-rif,USDRIF,,76,B+,8,CALM,49,mixed
susds-sky,sUSDS,,76,B+,,,39,mixed
usat-tether,USAT,,75,B+,12,CALM,32,mixed
lusd-liquity,LUSD,,75,B+,30,WATCH,50,mixed
usd3-3jane,USD3,,75,B+,,,26,primary
sbold-k3-capital,sBOLD,,74,B,,,,unobserved
ustb-superstate,USTB,,74,B,,,,unobserved
fxusd-f-x-protocol,fxUSD,,73,B,22,WATCH,85,mixed
usdtb-ethena,USDTB,,72,B,4,CALM,69,mixed
crvusd-curve,crvUSD,,72,B,17,WATCH,74,mixed
idrx-idrx,IDRX,,72,B,14,CALM,70,mixed
mxnb-juno,MXNB,,72,B,18,WATCH,64,mixed
usde-ethena,USDe,,71,B,15,CALM,57,mixed
usdg-paxos,USDG,,71,B,11,CALM,61,mixed
gho-aave,GHO,,71,B,10,CALM,74,mixed
usdai-usd-ai,USDai,,71,B,3,CALM,72,mixed
ausd-agora,AUSD,,71,B,9,CALM,86,mixed
m-m0,M,,71,B,7,CALM,,unobserved
stusds-sky,stUSDS,,71,B,,,35,mixed
frxusd-frax,FRXUSD,,70,B,19,WATCH,74,mixed
