# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/scores-latest/latest.csv | Methodology: safety-score v7.25 | dews v6.0 | liquidity v5.6 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
buidl-blackrock,BUIDL,100,67,B-,1,CALM,,unobserved
u-united-stables,U,100,52,C-,10,CALM,55,mixed
apxusd-apyx,apxUSD,100,68,B-,6,CALM,74,mixed
usdgo-osl,USDGO,100,66,B-,3,CALM,56,fallback
m-m0,M,100,48,D,24,WATCH,14,fallback
usdai-usd-ai,USDai,100,64,C+,9,CALM,60,mixed
usdm-mega,USDM,100,55,C,17,WATCH,53,fallback
usat-tether,USAT,100,65,B-,5,CALM,53,mixed
cusd-cap,CUSD,100,59,C,7,CALM,24,fallback
usdf-astherus,USDF,100,53,C-,7,CALM,,unobserved
iusd-infinifi,IUSD,100,56,C,6,CALM,33,primary
usdsui-sui,USDSUI,100,68,B-,4,CALM,54,mixed
usdq-quantoz,USDQ,100,55,C,20,WATCH,24,mixed
fidd-fidelity,FIDD,100,76,B+,2,CALM,69,mixed
yzusd-yuzu,YZUSD,100,47,D,0,CALM,42,primary
bold-liquity,BOLD,100,92,A+,18,WATCH,72,mixed
zeusd-zoth,ZeUSD,100,32,F,6,CALM,13,fallback
ctusd-citrea,ctUSD,100,60,C+,16,WATCH,31,primary
hyusd-hylo,HYUSD,100,73,B,18,WATCH,73,primary
suiusde-sui,suiUSDe,100,50,C-,6,CALM,53,mixed
wusd-worldwide,WUSD,100,63,C+,1,CALM,55,fallback
usdh-hermetica,USDH,100,44,D,0,CALM,,unobserved
usx-dforce,USX,100,47,D,29,WATCH,14,fallback
pathusd-bridge,pathUSD,100,64,C+,7,CALM,,unobserved
nxusd-nereus,NXUSD,100,51,C-,20,WATCH,41,mixed
usbd-bima,USBD,100,68,B-,0,CALM,,unobserved
usdnr-nerona,USDnr,100,58,C,17,WATCH,,unobserved
susd-solayer,sUSD,100,56,C,31,WATCH,42,fallback
home-homecoin,HOME,100,43,D,18,WATCH,19,mixed
usdx-kava,USDX,100,50,C-,29,WATCH,,unobserved
xai-silo-finance,XAI,100,75,B+,7,CALM,,unobserved
doc-money-on-chain,DOC,100,67,B-,9,CALM,52,mixed
djed-coti,DJED,100,52,C-,10,CALM,,unobserved
usdv-solomon,USDV,100,27,F,1,CALM,,unobserved
nusd-nexus,NUSD,100,57,C,6,CALM,,unobserved
iusd-indigo-protocol,IUSD,100,66,B-,25,WATCH,,unobserved
xusd-babelfish,XUSD,100,48,D,19,WATCH,35,primary
usdrif-rif,USDRIF,100,64,C+,10,CALM,45,fallback
dllr-sovryn,DLLR,100,62,C+,23,WATCH,30,primary
fxd-fathom,FXD,100,62,C+,11,CALM,46,fallback
usdq-quill,USDQ,100,,NR,0,CALM,,unobserved
usdk-orki,USDK,100,,NR,7,CALM,,unobserved
euroe-membrane,EUROe,100,,NR,20,WATCH,44,fallback
