# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-09-20T08:00:26.000Z | URL: https://pharos.watch/datasets/scores-latest/latest.csv | Methodology: safety-score v9.5 | dews v6.22 | liquidity v6.5 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
usdc-circle,USDC,,90,A+,7,CALM,72,mixed
usdt-tether,USDT,,87,A+,13,CALM,62,mixed
fidd-fidelity,FIDD,,84,A,6,CALM,62,mixed
bold-liquity,BOLD,,84,A,20,WATCH,65,mixed
gtusdc-gauntlet,gtUSDC,,83,A,,,24,fallback
eurc-circle,EURC,,82,A-,9,CALM,76,mixed
yvusdc-yearn,yvUSDC-1,,81,A-,,,14,fallback
usds-sky,USDS,,80,A-,6,CALM,64,mixed
dai-makerdao,DAI,,80,A-,8,CALM,60,mixed
zchf-frankencoin,ZCHF,,80,A-,12,CALM,76,mixed
xsgd-straitsx,XSGD,,80,A-,14,CALM,81,mixed
pusd-polymarket,pUSD,,79,B+,7,CALM,36,mixed
xaut-tether,XAUT,,79,B+,12,CALM,60,mixed
ybold-yearn,yBOLD,,79,B+,,,,unobserved
rlusd-ripple,RLUSD,,78,B+,6,CALM,62,mixed
usdcv-societe-generale-forge,USDCV,,78,B+,6,CALM,54,primary
sdai-sky,sDAI,,78,B+,,,48,mixed
cusd-cap,CUSD,,77,B+,15,CALM,32,fallback
lusd-liquity,LUSD,,77,B+,33,WATCH,51,mixed
doc-money-on-chain,DOC,,77,B+,12,CALM,66,mixed
gtusdcp-gauntlet,gtUSDCp,,77,B+,,,15,fallback
bbqusdc-steakhouse,bbqUSDC,,77,B+,,,,unobserved
usdrif-rif,USDRIF,,76,B+,8,CALM,46,mixed
susds-sky,sUSDS,,76,B+,,,37,mixed
usat-tether,USAT,,75,B+,15,CALM,29,mixed
usd3-3jane,USD3,,75,B+,,,29,primary
sbold-k3-capital,sBOLD,,74,B,,,,unobserved
fxusd-f-x-protocol,fxUSD,,73,B,7,CALM,82,mixed
idrx-idrx,IDRX,,73,B,23,WATCH,69,mixed
usdtb-ethena,USDTB,,72,B,4,CALM,63,mixed
crvusd-curve,crvUSD,,72,B,15,CALM,68,mixed
usdg-paxos,USDG,,71,B,10,CALM,61,mixed
gho-aave,GHO,,71,B,10,CALM,71,mixed
usdai-usd-ai,USDai,,71,B,4,CALM,71,mixed
ausd-agora,AUSD,,71,B,7,CALM,82,mixed
m-m0,M,,71,B,7,CALM,,unobserved
stusds-sky,stUSDS,,71,B,,,36,mixed
ustb-superstate,USTB,,71,B,,,,unobserved
mxnb-juno,MXNB,,71,B,14,CALM,67,mixed
frxusd-frax,FRXUSD,,70,B,13,CALM,70,mixed
dusd-alto,DUSD,,70,B,22,WATCH,40,primary
jpym-mento,JPYm,,70,B,0,CALM,40,primary
scrvusd-curve,scrvUSD,,70,B,,,61,mixed
pyusd-paypal,PYUSD,,69,B-,13,CALM,68,mixed
usd3-reserve-protocol,USD3,,69,B-,,,71,mixed
stcusd-cap,stcUSD,,69,B-,,,15,fallback
ousd-origin-protocol,OUSD,,68,B-,14,CALM,68,mixed
hchf-hedera-swiss-franc,HCHF,,68,B-,24,WATCH,37,fallback
eurcv-societe-generale-forge,EURCV,,68,B-,9,CALM,60,mixed
yousd-yield-optimizer,yoUSD,,68,B-,,,38,fallback
usn-noon,USN,,67,B-,15,CALM,58,mixed
fpi-frax,FPI,,67,B-,,,38,mixed
sgho-aave,sGHO,,67,B-,,,25,mixed
wm-m0,wM,,67,B-,13,CALM,74,primary
ousg-ondo-finance,OUSG,,67,B-,,,,unobserved
usdp-paxos,USDP,,66,B-,22,WATCH,61,mixed
uktbl-spiko,UKTBL,,66,B-,,,,unobserved
syrupusdc-maple,syrupUSDC,,66,B-,,,47,mixed
ylds-figure,YLDS,,65,B-,,,51,fallback
cadd-cad-digital,CADD,,65,B-,13,CALM,52,mixed
paxg-paxos,PAXG,,65,B-,12,CALM,55,mixed
safo-spiko-usd,SAFO,,65,B-,,,,unobserved
eursafo-spiko,EURSAFO,,65,B-,,,,unobserved
ustbl-spiko,USTBL,,65,B-,,,,unobserved
eutbl-spiko,EUTBL,,65,B-,,,,unobserved
usyc-hashnote,USYC,,64,C+,,,,unobserved
usdgo-osl,USDGO,,64,C+,3,CALM,55,fallback
gusd-gemini,GUSD,,64,C+,31,WATCH,56,mixed
usdq-quantoz,USDQ,,64,C+,13,CALM,48,mixed
usdsc-startale,USDSC,,64,C+,14,CALM,51,mixed
usdnr-nerona,USDnr,,64,C+,7,CALM,51,fallback
gbpm-mento,GBPm,,64,C+,12,CALM,55,primary
xofm-mento,XOFm,,64,C+,0,CALM,72,mixed
ghsm-mento,GHSm,,64,C+,17,WATCH,73,mixed
steakusdt-steakhouse,steakUSDT,,64,C+,,,14,fallback
susdc-spark,spUSDC,,64,C+,,,,unobserved
steakusdc-steakhouse,steakUSDC,,64,C+,,,,unobserved
usdcx-movement,USDCx,,64,C+,6,CALM,40,fallback
usd0-usual,USD0,,63,C+,15,CALM,51,mixed
djed-coti,DJED,,63,C+,15,CALM,52,fallback
susdt-spark,spUSDT,,63,C+,,,14,fallback
hbusdt-hyperbeat,hbUSDT,,62,C+,,,17,fallback
susdai-usd-ai,sUSDai,,61,C+,,,77,mixed
xdai-gnosis,xDAI,,61,C+,14,CALM,63,mixed
usde-ethena,USDe,,60,C+,11,CALM,58,mixed
tusd-trueusd,TUSD,,60,C+,6,CALM,56,mixed
fdusd-first-digital,FDUSD,,60,C+,2,CALM,52,mixed
usdaf-asymmetry,USDaf,,60,C+,38,ALERT,47,mixed
dusd-dialectic,DUSD,,60,C+,,,25,mixed
myrc-blox,MYRC,,60,C+,11,CALM,67,mixed
avusd-avant,avUSD,,59,C,23,WATCH,39,mixed
usdat-saturn,USDAT,,59,C,9,CALM,67,mixed
jupusd-jupiter,JUPUSD,,59,C,27,WATCH,68,mixed
meusd-mezo,MUSD,,59,C,38,ALERT,55,mixed
cusd-celo,USDm,,59,C,6,CALM,60,mixed
ftusd-flying-tulip,ftUSD,,59,C,15,CALM,55,mixed
ussd-sonic-labs,USSD,,59,C,6,CALM,53,primary
brlm-mento,BRLm,,59,C,7,CALM,53,mixed
audm-mento,AUDm,,59,C,20,WATCH,62,primary
copm-mento,COPm,,59,C,27,WATCH,34,fallback
kesm-mento,KESm,,59,C,6,CALM,77,mixed
spkcc-spiko,SPKCC,,59,C,,,,unobserved
xmd-metal-dollar,XMD,,59,C,8,CALM,,unobserved
xusd-straitsx,XUSD,,58,C,5,CALM,61,mixed
money-defi-money,MONEY,,58,C,9,CALM,45,mixed
pusd-plume,pUSD,,58,C,15,CALM,43,fallback
usdp-parallel,USDp,,58,C,16,WATCH,55,primary
europ-schuman,EUROP,,58,C,34,WATCH,43,mixed
susde-ethena,sUSDe,,58,C,,,51,mixed
stkgho-umbrella-aave,stkGHO.v1,,58,C,,,14,fallback
fxsave-f-x-protocol,fxSAVE,,58,C,,,17,mixed
jtrsy-anemoy,JTRSY,,58,C,,,,unobserved
zsd-zephyr-protocol,ZSD,,58,C,23,WATCH,43,fallback
eur0-usual,EUR0,,58,C,16,WATCH,33,fallback
reusd-re-protocol,reUSD,,57,C,,,75,mixed
usx-solstice,USX,,57,C,19,WATCH,43,mixed
pathusd-bridge,pathUSD,,57,C,7,CALM,64,fallback
musd-metamask,MUSD,,57,C,5,CALM,71,mixed
usdpt-western-union,USDPT,,57,C,5,CALM,53,fallback
ctusd-citrea,ctUSD,,57,C,15,CALM,43,fallback
xusd-babelfish,XUSD,,57,C,10,CALM,36,primary
ceur-celo,EURm,,57,C,28,WATCH,58,mixed
iauon-ondo,IAUon,,57,C,,,53,fallback
usd1-world-liberty-financial,USD1,,56,C,6,CALM,70,mixed
dola-inverse-finance,DOLA,,56,C,16,WATCH,50,mixed
usdk-kast,USDK,,56,C,7,CALM,,unobserved
bc3m-backed,bC3M,,56,C,,,,unobserved
mxne-real-mxn,MXNe,,56,C,21,WATCH,45,mixed
buidl-blackrock,BUIDL,,55,C,18,WATCH,,unobserved
frax-frax,FRAX,,55,C,31,WATCH,51,mixed
usdon-ondo,USDon,,55,C,5,CALM,21,fallback
usdu-unitas,USDU,,55,C,5,CALM,58,mixed
honey-berachain,BUSD,,55,C,5,CALM,67,mixed
usdu-usdu-finance,USDU,,55,C,11,CALM,53,mixed
audd-novatti,AUDD,,55,C,17,WATCH,48,mixed
eurq-quantoz,EURQ,,55,C,26,WATCH,29,mixed
slvon-ondo,SLVon,,55,C,,,53,mixed
zys-zephyr-protocol,ZYS,,55,C,,,,unobserved
bib01-backed,bIB01,,55,C,,,,unobserved
eure-monerium,EURE,,54,C-,7,CALM,58,mixed
sdola-inverse-finance,sDOLA,,54,C-,,,50,mixed
brlv-crown,BRLV,,54,C-,14,CALM,25,fallback
usdf-falcon,USDf,,53,C-,16,WATCH,58,mixed
trusd-tori,trUSD,,53,C-,14,CALM,55,mixed
usdm-mega,USDM,,53,C-,3,CALM,54,fallback
usdglo-glo,USDGLO,,53,C-,2,CALM,62,mixed
scusd-rings,SCUSD,,53,C-,11,CALM,55,mixed
