# Pharos pharos.watch | Endpoint: scores-latest | As of: 2026-09-25T08:00:55.000Z | URL: https://pharos.watch/datasets/scores-latest/latest.csv | Methodology: safety-score v9.92 | dews v6.27 | liquidity v6.8 | Freshness: point-in-time sample; not guaranteed to track production freshness
stablecoinId,symbol,pegScore,safetyScore,safetyGrade,dewsScore,dewsBand,liquidityScore,coverageClass
usdc-circle,USDC,,90,A+,9,CALM,71,mixed
bold-liquity,BOLD,,84,A,15,CALM,69,mixed
fidd-fidelity,FIDD,,83,A,3,CALM,64,mixed
eurc-circle,EURC,,83,A,13,CALM,75,mixed
zchf-frankencoin,ZCHF,,81,A-,17,WATCH,83,mixed
usds-sky,USDS,,80,A-,7,CALM,64,mixed
dai-makerdao,DAI,,80,A-,13,CALM,61,mixed
gtusdcp-gauntlet,gtUSDCp,,80,A-,,,15,fallback
gtusdc-gauntlet,gtUSDC,,80,A-,,,24,fallback
usde-ethena,USDe,,79,B+,12,CALM,59,mixed
xaut-tether,XAUT,,79,B+,7,CALM,64,mixed
usdcv-societe-generale-forge,USDCV,,78,B+,5,CALM,54,primary
xsgd-straitsx,XSGD,,78,B+,12,CALM,80,mixed
cusd-cap,CUSD,,76,B+,7,CALM,32,fallback
lusd-liquity,LUSD,,76,B+,23,WATCH,52,mixed
usd3-reserve-protocol,USD3,,76,B+,,,61,mixed
usat-tether,USAT,,75,B+,12,CALM,29,mixed
usd3-3jane,USD3,,75,B+,,,28,primary
usdt-tether,USDT,,74,B,15,CALM,62,mixed
yousd-yield-optimizer,yoUSD,,74,B,,,38,fallback
idrx-idrx,IDRX,,74,B,16,WATCH,72,mixed
rlusd-ripple,RLUSD,,72,B,8,CALM,51,mixed
usdtb-ethena,USDTB,,72,B,10,CALM,62,mixed
ausd-agora,AUSD,,72,B,9,CALM,87,mixed
crvusd-curve,crvUSD,,72,B,7,CALM,74,mixed
fxusd-f-x-protocol,fxUSD,,72,B,10,CALM,70,mixed
audm-macropod,AUDM,,72,B,9,CALM,60,mixed
stusds-sky,stUSDS,,72,B,,,36,mixed
gho-aave,GHO,,71,B,10,CALM,74,mixed
m-m0,M,,71,B,9,CALM,,unobserved
frxusd-frax,FRXUSD,,70,B,11,CALM,75,mixed
dusd-alto,DUSD,,70,B,21,WATCH,39,primary
jpym-mento,JPYm,,70,B,2,CALM,38,primary
scrvusd-curve,scrvUSD,,70,B,,,60,mixed
usdg-paxos,USDG,,69,B-,11,CALM,63,mixed
pyusd-paypal,PYUSD,,69,B-,12,CALM,71,mixed
paxg-paxos,PAXG,,69,B-,16,WATCH,62,mixed
ousd-origin-protocol,OUSD,,68,B-,11,CALM,67,mixed
doc-money-on-chain,DOC,,68,B-,22,WATCH,62,mixed
audd-novatti,AUDD,,68,B-,27,WATCH,54,mixed
hchf-hedera-swiss-franc,HCHF,,68,B-,25,WATCH,29,fallback
eurcv-societe-generale-forge,EURCV,,68,B-,8,CALM,63,mixed
stcusd-cap,stcUSD,,68,B-,,,15,fallback
mxnb-juno,MXNB,,68,B-,21,WATCH,69,mixed
fpi-frax,FPI,,67,B-,,,41,mixed
sgho-aave,sGHO,,67,B-,,,26,mixed
wm-m0,wM,,67,B-,8,CALM,60,primary
ousg-ondo-finance,OUSG,,67,B-,,,,unobserved
usdp-paxos,USDP,,66,B-,20,WATCH,66,mixed
uktbl-spiko,UKTBL,,66,B-,,,,unobserved
usn-noon,USN,,65,B-,5,CALM,60,mixed
cadd-cad-digital,CADD,,65,B-,7,CALM,55,mixed
safo-spiko-usd,SAFO,,65,B-,,,,unobserved
eursafo-spiko,EURSAFO,,65,B-,,,,unobserved
ustbl-spiko,USTBL,,65,B-,,,,unobserved
eutbl-spiko,EUTBL,,65,B-,,,,unobserved
usyc-hashnote,USYC,,64,C+,,,,unobserved
usdgo-osl,USDGO,,64,C+,19,WATCH,51,fallback
pusd-polymarket,pUSD,,64,C+,6,CALM,39,mixed
usdai-usd-ai,USDai,,64,C+,11,CALM,76,mixed
yusd-aegis,YUSD,,64,C+,11,CALM,55,mixed
usdq-quantoz,USDQ,,64,C+,13,CALM,41,mixed
usdsc-startale,USDSC,,64,C+,18,WATCH,43,mixed
usdrif-rif,USDRIF,,64,C+,11,CALM,47,mixed
usdnr-nerona,USDnr,,64,C+,12,CALM,46,fallback
gbpm-mento,GBPm,,64,C+,7,CALM,60,primary
xofm-mento,XOFm,,64,C+,0,CALM,69,mixed
ghsm-mento,GHSm,,64,C+,6,CALM,70,mixed
susdt-spark,spUSDT,,64,C+,,,14,fallback
steakusdt-steakhouse,steakUSDT,,64,C+,,,14,fallback
susdc-spark,spUSDC,,64,C+,,,,unobserved
steakusdc-steakhouse,steakUSDC,,64,C+,,,,unobserved
usd0-usual,USD0,,63,C+,19,WATCH,59,mixed
fdusd-first-digital,FDUSD,,63,C+,12,CALM,50,mixed
djed-coti,DJED,,63,C+,10,CALM,51,fallback
europ-schuman,EUROP,,63,C+,19,WATCH,44,mixed
dusd-dialectic,DUSD,,63,C+,,,31,mixed
gusd-gemini,GUSD,,62,C+,35,WATCH,42,mixed
hbusdt-hyperbeat,hbUSDT,,62,C+,,,18,fallback
ylds-figure,YLDS,,61,C+,,,55,fallback
ftusd-flying-tulip,ftUSD,,61,C+,12,CALM,54,mixed
xdai-gnosis,xDAI,,61,C+,8,CALM,67,mixed
tusd-trueusd,TUSD,,60,C+,10,CALM,61,mixed
avusd-avant,avUSD,,60,C+,17,WATCH,42,mixed
usdaf-asymmetry,USDaf,,60,C+,42,ALERT,42,mixed
usdat-saturn,USDAT,,59,C,10,CALM,71,mixed
meusd-mezo,MUSD,,59,C,34,WATCH,58,mixed
cusd-celo,USDm,,59,C,8,CALM,61,mixed
money-defi-money,MONEY,,59,C,7,CALM,46,mixed
usdglo-glo,USDGLO,,59,C,6,CALM,69,mixed
ussd-sonic-labs,USSD,,59,C,6,CALM,60,mixed
brlm-mento,BRLm,,59,C,9,CALM,59,mixed
audm-mento,AUDm,,59,C,20,WATCH,62,primary
copm-mento,COPm,,59,C,22,WATCH,34,fallback
kesm-mento,KESm,,59,C,12,CALM,76,mixed
spkcc-spiko,SPKCC,,59,C,,,,unobserved
xmd-metal-dollar,XMD,,59,C,28,WATCH,,unobserved
myrc-blox,MYRC,,59,C,15,CALM,74,mixed
xusd-straitsx,XUSD,,58,C,5,CALM,62,mixed
pusd-plume,pUSD,,58,C,8,CALM,42,fallback
usdp-parallel,USDp,,58,C,10,CALM,48,primary
