# Pharos pharos.watch | Endpoint: top-stablecoins | As of: 2026-09-20T08:00:26.000Z | URL: https://pharos.watch/datasets/top-stablecoins/latest.csv | Methodology: safety-score v9.5 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,symbol,name,pegType,pegMechanism,price,circulatingUsd,chainCount,chains
usdt-tether,USDT,Tether,peggedUSD,fiat-backed,0.99963,183265458557.92047,130,Tron;Ethereum;BSC;Solana;Arbitrum;Polygon;Plasma;TON;Aptos;Mantle;Avalanche;OP Mainnet;Kaia;X Layer;Hyperliquid L1;Celo;Fantom;Ink;Monad;Kava;Berachain;Near;Polkadot;Mixin;Tezos;Stable;Flare;Conflux;Tempo;OKTChain;KCC;Sui;Morph;Linea;Unichain;PulseChain;Injective;Scroll;Starknet;Katana;Rootstock;ZKsync Era;ICP;Sei;CORE;Manta;Vaulta;Metis;MegaETH;Aurora;Gnosis;IoTeX;EDU Chain;Abstract;Algorand;Peaq;Redbelly;Soneium;Osmosis;Etherlink;MultiversX;Stacks;IOTA EVM;Bittorrent;Oasis Emerald;Movement;Waves;Mode;Kusama;Astar;Wanchain;Telos;Hemi;Meter;Gravity by Galxe;Boba;Zircuit;Cardano;Hedera;Fuse;MANTRA;Syscoin;XDC;ApeChain;Taiko;GOAT;Immutable zkEVM;Somnia;Viction;EthereumClassic;Shiden;Plume Mainnet;Citrea;Data Network;LightLink;Flow;Theta;Vana;Nibiru;Arbitrum Nova;Rayls;0G;Zora;ThunderCore;Corn;Zilliqa;Evmos;Milkomeda C1;SX Network;DefiChain;Ontology;Rari;Kardia;Crab;Harmony;Dogechain;Heco;ZKsync Lite;Moonbeam;Canto;Moonriver;Terra Classic;NEO;Swellchain;Everscale;Loopring;Reinetwork;Statemine;Glue;Omni
usdc-circle,USDC,USD Coin,peggedUSD,fiat-backed,0.99985,74319932605.64963,157,Ethereum;Hyperliquid L1;Solana;Base;Arbitrum;Polygon;BSC;Arc;Avalanche;Aptos;Stellar;Sui;Monad;Cronos;OP Mainnet;Fantom;Starknet;Sonic;Noble;Tempo;XDC;Codex;Cardano;Ink;Near;Sei;Algorand;ZKsync Era;Polkadot;Tron;Hedera;Linea;Unichain;Morph;RISE;X Layer;World Chain;Osmosis;Mantle;Gnosis;PulseChain;Celo;Etherlink;Katana;Stacks;Injective;Pharos;MultiversX;Abstract;Kava;Berachain;Scroll;Plume Mainnet;Metis;XRPL;ALEO;Flare;Kaia;Flow;IoTeX;Mixin;Aurora;Immutable zkEVM;Soneium;ICP;KCC;edgeX L1;Manta;Doma;Boba;Astar;Fogo;Gensyn;DFK;Wanchain;CORE;Data Network;Meter;Telos;Somnia;Mode;Hemi;Gravity by Galxe;ApeChain;Arbitrum Nova;Zircuit;Movement;GateLayer;Taiko;OKTChain;Rootstock;Peaq;EDU Chain;BSquared;Syscoin;Shape;IOTA EVM;Bittensor EVM;Fuse;MANTRA;Redbelly;Elastos;Nibiru;Citrea;Vana;Zkfair;BOB;GOAT;Oasis Emerald;Karura;Bitlayer;Lisk;Waves;LightLink;Theta;EthereumClassic;Rayls;Stable;0G;Viction;Apex Fusion;Camp Network;Orderly Network;Xai;WEMIX3.0;Ronin;Moca;ThunderCore;Superposition;Corn;Botanix;Evmos;Milkomeda C1;SX Network;DefiChain;Rari;Kardia;Crab;Kadena;Harmony;Dogechain;ZKsync Lite;Degen;Moonbeam;Canto;Moonriver;Polygon zkEVM;Terra Classic;Perennial;Everscale;Horizen;Edu_chain;Loopring;Reinetwork;Glue;Xc;Nero
usds-sky,USDS,Sky Dollar,peggedUSD,crypto-backed,0.99995,6562161975.006744,7,Ethereum;Arbitrum;Solana;Base;OP Mainnet;Unichain;Avalanche
usde-ethena,USDe,Ethena USDe,peggedUSD,crypto-backed,0.99988831,4843535965.954,31,Ethereum;Solana;Plasma;Base;Robinhood Chain;TON;BSC;Monad;Mantle;Berachain;Hyperliquid L1;Avalanche;Arbitrum;Blast;MegaETH;Morph;Zircuit;Ink;Fraxtal;Movement;OP Mainnet;Linea;ZKsync Era;Scroll;Manta;Mode;Metis;Kava;X Layer;Tempo;Swellchain
dai-makerdao,DAI,Dai,peggedUSD,crypto-backed,0.9998636021839563,4801435912.750683,49,Ethereum;Polygon;Fantom;BSC;Arbitrum;OP Mainnet;PulseChain;Avalanche;Kaia;Kava;Near;Solana;Starknet;Metis;Boba;ZKsync Era;Linea;Astar;Osmosis;Mixin;Scroll;Arbitrum Nova;Aurora;Rootstock;Gnosis;KCC;Syscoin;Cardano;Velas;Shiden;Unichain;Taiko;Morph;Hemi;Oasis Emerald;EDU Chain;ThunderCore;Harmony;ZKsync Lite;Evmos;SX Network;Milkomeda C1;Moonbeam;Moonriver;Terra Classic;Everscale;Glue;Aztec;Loopring
usd1-world-liberty-financial,USD1,World Liberty Financial USD,peggedUSD,fiat-backed,0.9996090592389515,4371110718.461125,8,Ethereum;BSC;Solana;Aptos;Tron;Monad;Plume Mainnet;Abcore
susds-sky,sUSDS,Sky Savings USDS,peggedUSD,crypto-backed,1.1100806231935,4343760353.459752,4,Ethereum;Base;Optimism;Arbitrum
usdg-paxos,USDG,Global Dollar,peggedUSD,fiat-backed,1.000063,3191803249.6083317,6,X Layer;Robinhood Chain;Solana;Ethereum;Ink;Hyperliquid L1
pyusd-paypal,PYUSD,PayPal USD,peggedUSD,fiat-backed,1.000029,2777617945.4236817,19,Ethereum;Solana;Arbitrum;Flow;Polygon;Sei;Berachain;Cardano;Avalanche;Ink;Tron;Plume Mainnet;Codex;KiteAI;Abstract;Stable;Fraxtal;OP Mainnet;Glue
xaut-tether,XAUT,Tether Gold,peggedGOLD,rwa-backed,4370.397345089488,2720684443.636421,15,Ethereum;Arbitrum;BSC;TON;HyperEVM;Hyperliquid L1;Polygon;Plasma;Ink;Avalanche;Celo;Conflux;Solana;Monad;Stable
usyc-hashnote,USYC,Circle USYC,peggedUSD,fiat-backed,1.1376985953577021,2506199057.7368064,2,BSC;Ethereum
rlusd-ripple,RLUSD,Ripple USD,peggedUSD,fiat-backed,1.000153,2378648556.4438148,2,Ethereum;XRPL
buidl-blackrock,BUIDL,BlackRock USD,peggedUSD,fiat-backed,1,2311955108.110449,8,Solana;Avalanche;Ethereum;Aptos;BSC;OP Mainnet;Arbitrum;Polygon
usdy-ondo-finance,USDY,Ondo US Dollar Yield,peggedUSD,fiat-backed,1.1420858832682779,2198179395.752431,16,Ethereum;Stellar;Sei;Solana;Sui;Mantle;Osmosis;Arbitrum;Aptos;Noble;MANTRA;Injective;Tempo;Penumbra;Plume Mainnet;Glue
paxg-paxos,PAXG,PAX Gold,peggedGOLD,rwa-backed,4360.603943913114,1894871250.0606558,2,Ethereum;Solana
usdd-tron-dao-reserve,USDD,USDD,peggedUSD,crypto-backed,0.9987075541893732,1505042174.0474348,4,Tron;Ethereum;BSC;Bittorrent
eursafo-spiko,EURSAFO,Spiko Amundi Overnight Swap Fund (EUR),peggedEUR,rwa-backed,1.1628124009936223,1407771010.658086,7,Arbitrum;Ethereum;Polygon;Base;Etherlink;Starknet;Stellar
u-united-stables,U,United Stables,peggedUSD,crypto-backed,0.9986501044562511,1392773414.9918616,4,BSC;Ethereum;Tron;Robinhood Chain
usdgo-osl,USDGO,USDGO,peggedUSD,fiat-backed,1.0000027674756349,1383922064.3079078,1,Solana
susde-ethena,sUSDe,Ethena Staked USDe,peggedUSD,crypto-backed,1.2488738776955879,1317608306.818059,26,Ethereum;Plasma;Linea;Fraxtal;HyperEVM;Berachain;Zircuit;Metis;X Layer;Base;BSC;Morph;Scroll;Kava;Swellchain;Mode;Mantle;Arbitrum;Manta;Blast;Optimism;TON;Solana;zkSync;Avalanche;Aptos
usdf-falcon,USDf,Falcon USD,peggedUSD,crypto-backed,0.996678,1207568637.7340748,2,Ethereum;BSC
syrupusdc-maple,syrupUSDC,Maple syrupUSDC,peggedUSD,rwa-backed,1.1832375956991192,957411314.898366,8,Ethereum;Base;Arbitrum;Solana;Ink;Monad;Robinhood Chain;Tempo
eutbl-spiko,EUTBL,Spiko EU T-Bills Money Market Fund,peggedEUR,rwa-backed,1.21612858323308,791533121.406891,7,Arbitrum;Ethereum;Polygon;Base;Etherlink;Stellar;Starknet
jaaa-janus-henderson-anemoy,JAAA,Janus Henderson Anemoy AAA CLO Fund,peggedUSD,rwa-backed,1.049894,776469917.3033879,6,Ethereum;Base;BSC;Avalanche;Monad;Solana
gho-aave,GHO,GHO,peggedUSD,crypto-backed,0.9992424564151972,698284649.685115,2,Ethereum;Monad
214,USDX,USDX Money USDX,peggedUSD,crypto-backed,,683442223.6265625,3,BSC;Arbitrum;Ethereum
usd0-usual,USD0,Usual USD,peggedUSD,fiat-backed,0.998957304083035,545899156.5129057,2,Ethereum;Arbitrum
usdtb-ethena,USDTB,Ethena USDtb,peggedUSD,fiat-backed,0.99994931531369,527654342.3437363,2,Ethereum;Solana
ustb-superstate,USTB,Invesco Short Duration US Government Securities Fund,peggedUSD,rwa-backed,11.215714,526727067.9362037,3,Ethereum;Plume;Solana
ylds-figure,YLDS,YLDS,peggedUSD,fiat-backed,0.9998293076036707,511139675.5117087,2,Provenance;Stellar
susdai-usd-ai,sUSDai,Staked USDai,peggedUSD,rwa-backed,1.1131245539557384,494993668.0490137,4,Ethereum;Arbitrum;Base;Plasma
rwausdi-multipli,rwaUSDi,Multipli rwaUSDi,peggedUSD,crypto-backed,0.9997109588333946,487301489.0858319,7,Ethereum;Base;Monad;Arbitrum;Robinhood Chain;X Layer;Pharos
tusd-trueusd,TUSD,TrueUSD,peggedUSD,fiat-backed,0.9992886524003399,484183417.67529154,10,Ethereum;Tron;BSC;Avalanche;Fantom;Polygon;Arbitrum;Syscoin;Near;Heco
gtusdcp-gauntlet,gtUSDCp,Gauntlet USDC Prime,peggedUSD,crypto-backed,1.03568562385,482297799.84729683,3,Ethereum;Base;Arbitrum
pusd-polymarket,pUSD,Polymarket USD,peggedUSD,crypto-backed,1.0003496882933551,481604569.0705501,1,Polygon
eurc-circle,EURC,EURC,peggedEUR,fiat-backed,1.1495588308674773,469167766.4376902,13,Ethereum;Base;Solana;Avalanche;Arc;Stellar;Tempo;World Chain;Cronos;Sonic;Polygon;Cardano;ICP
a7a5-old-vector,A7A5,A7A5,peggedRUB,fiat-backed,0.011789012880053039,464907977.3956035,2,Tron;Ethereum
susdt-spark,spUSDT,Spark Savings USDT,peggedUSD,crypto-backed,1.0305385596,397247584.721731,2,Ethereum;Arbitrum
jtrsy-anemoy,JTRSY,Janus Henderson Anemoy Treasury Fund,peggedUSD,rwa-backed,1.116272,350235305.90454566,8,Ethereum;Base;Arbitrum;Avalanche;Plume;BSC;Monad;Solana
kau-kinesis,KAU,Kinesis Gold,peggedGOLD,rwa-backed,139.68734401764237,333326581.27457905,1,Ethereum
ousg-ondo-finance,OUSG,Ondo OUSG,peggedUSD,rwa-backed,116.605403,326749474.9812642,4,Ethereum;Polygon;Solana;XRP Ledger
430,SOFID,SoFiUSD,peggedUSD,fiat-backed,0.9995630754074777,326680530.24186933,5,Solana;Ethereum;Polygon;Monad;Tempo
fdusd-first-digital,FDUSD,First Digital USD,peggedUSD,fiat-backed,0.9986513593857288,324672332.44176406,6,Ethereum;BSC;Sui;Solana;Arbitrum;TON
gusd-gate,GUSD,Gate USD,peggedUSD,fiat-backed,0.9987316323425515,319492484.7265862,1,Ethereum
susdc-spark,spUSDC,Spark Savings USDC,peggedUSD,crypto-backed,1.0351367062,317416222.2996168,2,Ethereum;Avalanche
apxusd-apyx,apxUSD,apxUSD,peggedUSD,crypto-backed,0.9782355886859909,312547782.9180689,3,Ethereum;Base;BSC
usdai-usd-ai,USDai,USD.AI,peggedUSD,crypto-backed,1.000029,307415886.13102645,3,Arbitrum;Plasma;Ethereum
reusd-re-protocol,reUSD,Re Protocol reUSD,peggedUSD,crypto-backed,1.1021834561200823,281127352.0122089,11,Ethereum;Monad;Base;Avalanche;Arbitrum;Plasma;BSC;Katana;Tempo;Ink;Solana
syrupusdt-maple,syrupUSDT,Maple syrupUSDT,peggedUSD,rwa-backed,1.1414777455999765,270321855.31745994,5,Ethereum;Plasma;BSC;Mantle;Ink
ausd-agora,AUSD,Agora Dollar,peggedUSD,fiat-backed,0.9999202193606135,266082503.66338277,14,Monad;Ethereum;Immutable zkEVM;Mantle;Avalanche;Solana;Polygon;Sui;Katana;Arbitrum;CORE;BSC;Plasma;Plume Mainnet
kag-kinesis,KAG,Kinesis Silver,peggedSILVER,rwa-backed,66.53133197554249,247627769.80663782,1,Ethereum
crvusd-curve,crvUSD,crvUSD,peggedUSD,crypto-backed,0.9996943075,245372876.1183332,12,Ethereum;Arbitrum;OP Mainnet;Base;Fraxtal;Sonic;Polygon;Gnosis;ZKsync Era;BSC;Taiko;Waves
usx-solstice,USX,Solstice USX,peggedUSD,crypto-backed,0.999674582365947,232430938.8969615,1,Solana
153,BUSD,Binance Peg BUSD,peggedUSD,crypto-backed,1.0003053625716525,232194851.0233592,27,BSC;Avalanche;Meter;Polygon;ZKsync Era;Fantom;Astar;OKTChain;Kaia;Boba;KCC;OP Mainnet;Aurora;Shiden;Theta;Solana;Rootstock;Elastos;Syscoin;Metis;Oasis Emerald;Moonriver;ThunderCore;Evmos;Milkomeda C1;Terra Classic;Moonbeam
frax-frax,FRAX,Frax,peggedUSD,algorithmic,0.9915822354479249,217464460.90765908,26,Ethereum;Fraxtal;Arbitrum;BSC;Avalanche;OP Mainnet;Fantom;Polygon;Near;Boba;Aurora;ZKsync Era;Osmosis;Solana;Moonriver;Harmony;Dogechain;ZKsync Lite;Evmos;Milkomeda C1;Moonbeam;Everscale;Optimism;Polygon zkEVM;NEAR;zkSync
susdd-tron-dao-reserve,sUSDD,Savings USDD,peggedUSD,crypto-backed,1.065215179271921,202246106.73172587,2,Ethereum;BSC
17,HUSD,HUSD,peggedUSD,fiat-backed,,192313547.97963187,3,Ethereum;Tron;Solana
stusds-sky,stUSDS,Staked USDS,peggedUSD,crypto-backed,1.07485,191933001.91614443,1,Ethereum
eurcv-societe-generale-forge,EURCV,EUR CoinVertible,peggedEUR,fiat-backed,1.1487853686829328,189673831.60396594,4,Ethereum;Stellar;XRPL;Solana
m-m0,M,M by M0,peggedUSD,fiat-backed,0.9996325115824899,188981348.973112,8,Ethereum;Solana;Monad;Noble;Hyperliquid L1;Arbitrum;OP Mainnet;Plume Mainnet
usat-tether,USAT,USAT,peggedUSD,fiat-backed,0.999671,184155122.09172478,1,Ethereum
safo-spiko-usd,SAFO,Spiko Amundi Overnight Swap Fund,peggedUSD,rwa-backed,1.021385,179632024.34494513,7,Ethereum;Polygon;Arbitrum;Base;Starknet;Stellar;Etherlink
